Series	N	NF	Category	Starting Year		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
N 122	20	6	MICRO       	1975	1	1936.55	2193.45	2295.9	2749.15	2734	3259.7	3661.2	4521.35	5607.65	6330.75	7058.5	8031.45	8689.9	7906.9	7795.55	5036.15	4601.45	6746.7	4827.35	6615																											
N 123	20	6	MICRO       	1975	1	1397	1561.8	1847.7	2154.55	2913.3	3318.55	3564	3605.65	4765	4965	4990	405	5040	5225	5690	6170	3775	7855	7985	9815																											
N 124	20	6	MICRO       	1975	1	1475	1825	2073	2301	2175	2609	2886	2098	3659	3514	4108	4046.99	7011.99	5485.99	5395	6004	6129	4791	4753	4206																											
N 125	20	6	MICRO       	1975	1	3618	3359.2	4272.8	5838	4062	3151.2	1734.8	2029.6	3686	5754	3984.4	3734.8	3250	4376.4	4474.8	3816.8	2790.4	4068	4270.8	3671.6																											
N 126	20	6	MICRO       	1975	1	939.3	1189.1	1522	1954.8	2362.6	2151.2	1950.3	1830.6	2353.1	2980	3314.4	3719.8	3912.4	3860.2	4807.9	4719	4450.2	6249.8	7761.4	10113.8																											
N 127	20	6	MICRO       	1975	1	3326.29	3466.12	3606.6	3955	4600	4701	3936	3147	2555	4840	672	4639	5706	8656	9325	7108	6192	3748	1649	6165																											
N 128	20	6	MICRO       	1975	1	2080.5	1890	2084	3091	3920	3700	3425.5	2950.5	2387	3243.5	4613	4829.5	4160.5	8290.5	9227.5	7182	3622	4894.5	6023	8049.5																											
N 129	20	6	MICRO       	1975	1	3757	4210	4219.5	4554.5	5629	5496.5	5677	4181	3281.5	4740	485	3415	3975	6175	5855	4420	1355	2560	2705	3815																											
N 130	20	6	MICRO       	1975	1	2644.66	2733.3	2825.46	2947.14	3078.22	2659.36	2866.6	2980.4	3204.6	3249	3173.2	2801.2	4391.4	4617.6	1906.8	2307.8	634.6	3389.2	3387.4	2815.8																											
N 131	20	6	MICRO       	1975	1	360.7	436.22	543.5	622.74	723.82	896.52	1070.56	1276.4	1625.3	1943.3	2167.9	2407.78	2956.58	3575.08	4138.5	4856.04	5763.38	6722.46	7895.96	8313.9																											
N 132	20	6	MICRO       	1975	1	2248.7	2991.1	3069.9	2991.3	3002.3	3506.8	3798.6	4193	5759.1	6406	6568.5	6727	7027.7	7444.7	8003.8	8629.9	8251.1	8941.5	9484.5	10395.3																											
N 133	20	6	MICRO       	1975	1	4308.15	3997.2	4260	3913.95	4767.3	4773.45	4784.55	5398.95	6637.95	7480.05	7134.3	7133.4	7405.95	7921.8	7636.05	6775.35	1399.65	5427.6	6233.55	7554.3																											
N 134	20	6	MICRO       	1975	1	1101	1198.5	1322.5	1644.5	1934	2160	2311	2596	3109	3990	5217.5	5846.5	6171	7061.5	6747.5	6221.5	6009.5	5205.5	5264	5640																											
N 135	20	6	MICRO       	1975	1	5631	5690	6243	6734.5	6332	6845.5	7056	6829	5674.5	6740	6977	6558.5	5968.5	6200	7613	7778.5	2413	6567.5	5868	3307																											
N 136	20	6	MICRO       	1975	1	5585.65	5391.9	5482.75	5909.5	6248.85	6179.75	5948.7	6033.7	3894.35	4877.15	5802.15	5494.65	5815.1	4061.25	5611.9	5498.5	5495.1	5496.95	5584.7	5470.1																											
N 137	20	6	MICRO       	1975	1	2871.6	3145.8	3352.2	3643.8	4255	5358.4	6453.8	2599.4	123.6	4027.8	3344.6	1537.8	2252.8	3536.6	3683.4	3937	4128.4	4063	3795.2	4135.8																											
N 138	20	6	MICRO       	1975	1	5208.5	5420.5	5365	5526.5	5493	5434	5171.5	4637	4178.5	4303.5	4754.5	5683	6188	5546.5	4553	4694.5	4841.5	6244	5838.5	6496																											
N 139	20	6	MICRO       	1975	1	2514	2167	2231	2954	2221	750	1024	1766	4107	5386	5476	3904	3823	3880	3436	1746	1071	3001	6140	8670																											
N 140	20	6	MICRO       	1975	1	543.9	439.05	370.95	728.4	1137.6	1519.05	1030.5	655.2	1301.4	1791.45	1918.8	2644.65	2832.9	3466.2	4249.5	4078.8	6529.5	8049	8069.85	8949.9																											
N 141	20	6	MICRO       	1975	1	1494.15	1706.03	1984.73	2358.75	2816.85	3264.75	3717.45	4201.35	4796.03	5224.88	5669.17	6139.42	6965.03	7657.73	8130.23	8242.13	7871.93	7311	7519.88	8014.2																											
N 142	20	6	MICRO       	1975	1	5221.5	5299	5066	5229	4124.5	5278	5650.5	5586.5	4733.5	3856.5	5632.5	5977.5	6334	6228.5	6405	5934.5	6204.5	6358	6031	5938																											
N 143	20	6	MICRO       	1975	1	1466	1764	1986	2238	2374	2418	2634	4290	4736	5598	5702	6070	6878	6572	7134	7544	6744	7334	7196	8164																											
N 144	20	6	MICRO       	1975	1	1198	1427.5	1748	2028.5	2435	1993	2458	2036	2321.5	3472.5	2047	2314	2709.5	3007.5	3286.5	3703	2749.5	3783.5	4504.5	5363.5																											
N 145	20	6	MICRO       	1975	1	1109.31	1228.26	1235.82	1350.42	1528.77	1411.2	1366.05	1569.54	1658.07	1666.53	1822.26	2176.02	2733.57	3313.62	3923.31	4326.66	4720.41	5351.37	6283.68	8147.7																											
N 146	20	6	MICRO       	1975	1	963.45	1234.95	1841	2775.5	3402.15	2895.55	2151.3	2321.55	2195.7	3012.55	2880.75	2541.7	3017.3	4199.45	3330.55	3326.2	3975.25	4276.15	6718.35	7899.05																											
N 147	32	6	INDUSTRY    	1961	1	5929.07	6332.38	6043.28	6127.9	6262.29	6416.96	5999.64	6424.27	5769.61	5623.18	5357.77	5265	4900.33	4529.55	4130.8	4225.07	4181.2	4189.48	3988.72	3863.11	3719.97	3591.07	3391.82	3031.74	2650.98	2409.32	2300.46	2351.41	2104.9	1845.68	1673.86	1678.03															
N 148	31	6	INDUSTRY    	1961	1	5076.36	5327.82	5097.22	5166.54	5261.9	5376.81	4953.8	5265.8	4622.31	4518.16	4258.75	4176.04	3866.36	3551.47	3312.32	3454.33	3245.4	3146.95	3055.64	2983.62	2843.97	2852	2631.83	2309.99	1996.3	1756.56	1651.84	1625.07	1303.18	1163.1	1163.14																
N 149	32	6	INDUSTRY    	1961	1	3628.35	4149.95	3880.95	3945.3	4511.55	4691.15	4781	5271.85	5086.75	4809.05	4907.35	4913.6	4558.3	4275.1	3526.8	3244	3880.1	3967.65	3638.95	3645.55	3488.45	2702.05	2884.6	2970.75	2732.45	2796.3	2514.05	2759.05	2876.7	2235.9	2148.15	2166.45															
N 150	32	6	INDUSTRY    	1961	1	3320.5	5051	4876.5	3474.5	3483.5	3634	3474.5	4165.5	4337.5	4477.5	4220	4363	4828	4945	3958.5	5032	7989	10426	10264.5	7519	8915.5	9933	9153.5	6380	5409.5	4675	7290.5	8726.5	6625	4766	4056.5	4080															
N 151	32	6	INDUSTRY    	1961	1	6063	7355	7234	10281	2841	2924	2015	2079	4320	5366	3315	2053	2575	2416	3392	2130	2805	2669	3651	2698	3355	6396	5254	4595	2732	2971	3341	3410	3680	2677	2449	1889															
N 152	44	6	INDUSTRY    	1947	1	5717	6374	5837.5	7318.4	4613	4611.4	5623.6	6058.7	6449.9	5711.2	5474.1	4922.7	5639.5	4867.4	4342	4701.9	4645.7	4892.3	5229.8	5544.4	4967	5912	6078.8	5683	5870.9	6508.9	6964.5	7190.5	6699.7	7307.3	7801.3	7646.5	7390	5861.5	6346.7	6606.1	6762.7	7507.4	7746.8	7435.6	7758.2	8582.8	8668.7	8390.3			
N 153	44	6	INDUSTRY    	1947	1	1550.61	1488.54	1200.03	1451.49	2576.19	2434.2	2586.21	1898.55	2958.18	3290.73	3408.39	3214.71	4205.43	4378.53	4279.68	4799.25	4902.84	5379.84	5527.05	6004.83	5827.71	6496.02	6858.99	6696.84	6831	7366.47	7881.03	7494.66	5813.55	6911.25	7252.59	7425.63	7603.5	6045.72	6064.35	5486.85	5808.27	6467.88	5513.58	6038.31	6552.36	7004.16	6784.11	6343.59			
N 154	43	6	INDUSTRY    	1947	1	1041	898	854	609.5	745.5	783	765	816.5	879	966.5	878.5	614.5	552	704.5	488.5	532	491	794.5	1190.5	1025.5	725	1259	1182	765.5	794.5	1063.5	2196.5	4614.5	3062	2392	3011	2664	3286.5	4529	5543	2795	2327.5	3205	2813.5	2601	4790	8074.5	9559				
N 155	43	6	INDUSTRY    	1947	1	2086	2404	2324	1346	1868	2078	1634	1656	1762	1772	1824	1996	1822	2560	1596	1950	1826	1792	2378	2200	1698	2780	2196	2004	1958	1532	2580	7216	7996	6334	4598	6032	7150	9114	6856	4050	3654	3224	2246	1618	3036	3424	3626				
N 156	47	6	INDUSTRY    	1947	1	158.4	157.8	176.6	204.8	264	312.4	364.8	412.2	487	552.6	625.2	630	727.4	777.2	796.6	875.2	1007.2	1169.8	1373.6	1597.8	1975	2279.2	2508.4	2634.2	2713.2	3048.2	3239.2	3258.4	3256.2	3579.8	3895	4535.6	5240.4	5083.6	4977.8	5192.8	5636.6	6102.4	6718	7331	8089.4	8466	8654.2	9158.6	8959	9571	9782.8
N 157	47	6	INDUSTRY    	1947	1	122.2	120	135.4	160.6	211.8	251.2	295.8	336	397	448	507.6	507.6	586.2	611.2	621.2	672.4	769.2	882.8	1037.8	1211.8	1509.8	1750.2	2054.4	2083	2128.8	2362.8	2526.4	2594.6	2634.6	2905.4	3132.2	3653.4	4177.8	4001.8	3974.4	4203	4538.2	4873.8	5401.2	6041.8	6493.8	6586.2	6599.6	6804.6	6651.4	6958.6	7072.6
N 158	47	6	INDUSTRY    	1947	1	165	190	210	240	325	350	370	415	445	480	510	540	605	680	755	835	875	960	1140	1470	2040	2835	4035	3575	3540	3430	3435	3460	3415	3595	3755	4040	4265	4720	4990	5020	5325	5800	6065	6235	6565	6835	7075	7445	7060	7865	8355
N 159	47	6	INDUSTRY    	1947	1	181	189	206	221	261	306	345	381	450	523	588	612	706	831	877	1014	1190	1435	1679	1930	2326	2645	2270	2756	2922	3427	3564	3319	3108	3372	3661	4411	5313	5409	5017	4943	5492	6142	6584	6444	7983	9399	10274	11770	11539	13062	13551
N 160	47	6	INDUSTRY    	1947	1	240	315	360	390	405	420	480	660	915	975	1005	1155	1320	1695	2355	2745	2880	2865	3975	7020	8670	10500	8160	11490	9255	7725	7830	7065	6390	6105	5955	5610	5580	5880	5640	5985	6225	6855	6645	6495	6645	7050	6960	7695	7395	7440	7545
N 161	46	6	INDUSTRY    	1947	1	622.5	841	923.5	1186.5	1370.5	1508	1758	1708.5	1675.5	1785.5	1943.5	1950.5	2321.5	2376.5	2451.5	2687	2870.5	3088	3560	3924.5	4164.5	4761.5	5371	5525	6346.5	3710.5	4352	4901.5	4776.5	5710	6926.5	8309	7525.5	7716	8067.5	7702	8191	8706.5	8674.5	9240	9199	9334	9875	10905	11045.5	12090	
N 162	21	6	INDUSTRY    	1972	1	2580	2500	2480	2200	3490	4520	4950	3120	3040	2930	6030	3530	4120	3600	5480	2970	4640	3550	4420	3140	4460																										
N 163	21	6	INDUSTRY    	1972	1	5130	6090	5880	5220	6030	6510	7080	6450	5670	5400	2460	4920	4830	4770	4980	5430	5100	5250	5160	5340	6210																										
N 164	47	6	INDUSTRY    	1947	1	1737.4	1934.4	1716	1894.6	2078.4	2116.4	2132.8	1874.2	2021.4	2109	2101.2	1913	1965	1903.4	1837.4	1888	1912	1971.4	2041.6	2132.2	2075.4	2172	2284.6	2396.4	2539.4	2688	2964.2	3375.6	3271.4	3714.8	3989.4	4367.2	5070.4	5651.6	6180.8	5428.6	5346.4	5891.8	5527	5191.4	5324.6	5595.8	5591.2	5703.2	5569	5669.8	5765
N 165	47	6	INDUSTRY    	1947	1	1408.6	1595.2	1409.6	1563.4	1727	1758	1790.2	1559.6	1707.8	1789.2	1788.4	1614.2	1662.4	1605.6	1547.4	1598.2	1630.8	1691	1767.2	1857.2	1828.2	1951	2064	2182.6	2358.6	2519.6	2763.6	3176.2	3069.2	3486.6	3731.6	4069.2	4715.2	5270	5785	5123	5167.2	5695.6	5342.2	5019.6	5159.6	5427	5411.8	5523.2	5389.8	5501.6	5598.2
N 166	47	6	INDUSTRY    	1947	1	9630	9640	8610	8130	9000	9060	8420	7670	7430	7570	7350	6750	6510	6400	6250	6190	5880	5780	5530	5440	4850	4440	4380	4200	2940	2570	2580	2900	2970	3300	3370	3560	3820	4390	5350	3730	1060	1010	1060	1100	960	850	910	940	940	900	830
N 167	47	6	INDUSTRY    	1947	1	1359.8	1494.4	1378.4	1411.8	1608.8	1610.6	1627	1476.8	1528.2	1620.4	1647.6	1508.8	1541	1513.2	1454.2	1483.4	1490.4	1547.6	1570	1624.4	1642.2	1716.4	1807.6	1930	2011.6	2116	2319	2614.6	2641.4	3579.2	3859.8	4226	4818.6	5270.2	5716.6	5414.2	4994.2	5160.8	5051.6	4930.4	4776.2	4976.6	5007.6	4947.2	5612.4	5063.2	4903
N 168	47	6	INDUSTRY    	1947	1	263	287	315	357.5	382.5	437.5	488.5	531	623	662.5	712.5	821	931.5	1012.5	1042	1173	1308	1456.5	1675.5	1946.5	2193.5	2510.5	2955.5	3329.5	3795.5	4534	4605.5	4270	4025	3850	4100.5	4506	4661.5	4505	4452.5	4694	6005	7121	7626	7671.5	8502.5	8791.5	9060	9752.5	8919.5	9769.5	10323
N 169	47	6	INDUSTRY    	1947	1	235	245.5	299.5	334	362.5	443	469.5	500	593	676	730.5	796	912	1001	1010	1146	1294	1420.5	1670.5	1907	2167	2410	2883.5	3249.5	3529.5	4156	4379	4153	4088.5	3877.5	4165	4622.5	4969.5	4985.5	4989	5137.5	6129	6954.5	7384	7178.5	8212.5	8604.5	8801.5	9511	8789.5	9504.5	9990.5
N 170	47	6	INDUSTRY    	1947	1	241	240	274	254.5	295	303	287	319.5	359.5	440	493	510	559	649	663.5	751.5	779	945	1046.5	1204.5	1386.5	1542	1801	2032.5	2162.5	2596.5	2875	2968	3088	3132	3249.5	3971.5	4972	5626	5988	5454.5	4415.5	4485	4451.5	5132.5	5819.5	6902	7549.5	8454	8812.5	9694.5	10192.5
N 171	47	6	INDUSTRY    	1947	1	149.5	154.5	161	167	179.5	204.5	208.5	232	261.5	278	313	410.5	474.5	535	559.5	618	660	826.5	909.5	1021	1179	1306.5	1519.5	1724.5	1783.5	2155	2452.5	2533.5	2663	2691	2737	3275.5	4071.5	4642.5	4966.5	4523.5	3733.5	3849	3862.5	4409	5119.5	6105.5	6775	7512	7854	8601	8922.5
N 172	41	6	INDUSTRY    	1947	1	240.5	275.3	306.6	345.6	381.8	424	463.5	500.5	554	612.5	664.5	713.4	779.2	835.8	888.9	951.2	1014.7	1093.8	1175	1290.5	1384.7	1506.8	1678.1	1810	2041	2307.8	2603.6	2894.1	3207	3660.2	4073.6	4590.5	5060.4	5673.8	6649.9	7374.8	7809.2	6764.7	7168.5	7389.7	7465.7						
N 173	41	6	INDUSTRY    	1947	1	274	312.8	356.4	407.8	445.4	497.4	548.2	586.6	637.4	698.8	756.8	818.6	881.2	942.2	994.6	1056	1117	1184.4	1254.4	1339.8	1418	1515.6	1642.6	1781.6	1994	2252.4	2486	2779	3051.2	3324.2	3633.4	3981.8	4393.4	4866.6	5623.2	6330.8	6618	5667.2	5963.4	6243.6	6333.8						
N 174	41	6	INDUSTRY    	1947	1	176.6	200.4	213.8	235.8	264.2	288	306.6	332.2	378.4	420.4	454	477.2	530.4	567.6	604.8	648.8	695.2	765.4	837.6	952.2	1034	1138.6	1301.2	1389.4	1589	1796.8	2075	2285.2	2538.4	2923.6	3261	3726	4141.4	4596.6	5301.4	5613.6	5606.2	2073.4	1642.8	1707.2	1834.2						
N 175	41	6	INDUSTRY    	1947	1	385.4	420	475	494	539.6	598.8	645.6	686	737.8	813.4	875.8	891.2	944.6	1003.8	1059.4	1123.6	1189.6	1299.2	1415.2	1542.6	1663.8	1804	2054	2319.2	2650.6	2973.6	3307.6	3684	4132.8	4664.2	5222.2	5897.8	6695.4	7596.6	8918.6	10244.6	10619	8892.6	9407	9710.6	10076.8						
N 176	41	6	INDUSTRY    	1947	1	105	135.5	161.5	228.5	230	253	284	323.5	380.5	420.5	467	560.5	648.5	699.5	759.5	837.5	885	962	1045.5	1158.5	1244	1276.5	1399	1505	1743.5	2016	2356.5	2648	2896	3340	3647.5	4090.5	4564	5097	5955	5973	6398.5	6099	6467	6570	6685						
N 177	34	6	INDUSTRY    	1947	1	3380	3160	3310	2570	4930	3635	3215	3590	4205	3825	3960	3640	3945	4300	3775	3790	4385	4785	4810	5045	5560	5715	5790	6330	5405	6950	9795	8340	8215	9545	8350	6500	7235	8275													
N 178	43	6	INDUSTRY    	1947	1	3000	3820	4720	3500	7120	5660	5860	5560	8960	8540	8740	5200	7780	9540	5900	5480	6520	6420	5240	5200	5340	4820	4160	4100	4160	5200	9620	7340	5920	8500	5700	5700	7400	5560	6080	5900	6220	7100	6000	4980	6540	6880	6700				
N 179	47	6	INDUSTRY    	1947	1	3216.5	3379	3351	3955.5	3551.5	3724.5	3836	4047	4388	4366	4072	4274	4948.5	4490.5	4590.5	4780	4704	4901	4967.5	5084	4957.5	5221	4730	4610	5135.5	5281.5	5227.5	4476	4259.5	4872	5147.5	5033.5	4848	3903.5	3591.5	3387.5	4132	4507	4610.5	5241	5677	5706.5	5587	5302.5	4762.5	4687	4160.5
N 180	47	6	INDUSTRY    	1947	1	2434	3372	3288	2744	3372	3130	3508	3246	3290	3846	3658	3578	3632	4006	3752	3558	3358	3618	3464	3332	2890	2792	3254	3268	2764	2428	2646	2688	2540	2630	2658	2590	2758	2370	2298	2110	2558	2514	2624	2624	2730	2694	2804	2422	2392	2128	1934
N 181	45	6	INDUSTRY    	1948	1	107.8	84.5	215.8	555	574.1	380.55	315.45	466.15	607.05	397.35	505.5	510.2	568.65	670.9	748.15	881.85	898.5	1110.65	1361.65	1345	1358.4	1100.25	1058.05	1077.65	1192.1	1352.2	1635.2	1449.75	1799.6	1946.1	2490.95	3378.05	3481.2	3746.1	4458.4	4582.35	5243.15	5548.4	5541.8	6061.2	7356.4	8681.75	7298.25	6632.2	5177.35		
N 182	45	6	INDUSTRY    	1948	1	188.8	136.7	83.1	337	975	637.6	450.1	516.3	730.9	452.7	528	391.4	427.3	1044.3	1198.2	1408.6	1351.6	1458	1635.1	1853.8	1657.7	1452.1	1511.6	1522.9	1481.7	1580.4	1939	1859.3	2105.6	2268.2	2599.2	2338.3	3349.6	4243.1	5884.9	6029	6696.8	7024	6800.1	6626.4	6785	8063.3	5626.4	6666.8	5676.4		
N 183	32	6	INDUSTRY    	1961	1	605.95	665.9	804.25	814.1	1005.05	1210.95	1221.15	1228.75	964.45	950.5	951.4	1063.7	1218.85	1511.95	1332.35	1618.2	1773.9	2317	3089.35	3381.1	3635.15	4355.65	4462.75	5077.8	5421.65	5334.3	5871.7	7171.05	8419.05	7064.65	6496.2	5085.2															
N 184	45	6	INDUSTRY    	1948	3	115.8	178.4	228.7	347.3	649.5	851.1	830.5	847	949.6	1176.6	1147	1125.5	1099.7	1494.8	1597.2	1640.7	1668.6	1701.6	2022.7	2344.4	2559.2	2464.8	2475.2	2167.9	2149.9	2430.5	2684.9	2947.3	3132.8	3331.5	3796.8	4617.3	5844	6994.4	7548.7	8345.3	8894.1	10052.2	10557.7	11030.1	11354.8	12214.8	13664.6	13457.8	12185.2		
N 185	45	6	INDUSTRY    	1948	1	176.8	287.6	178	286.8	1002.2	1405.2	1329.8	1289	1311.8	1576.8	1457.8	1079	863.8	2353.2	2510.4	2640.6	2563	2507	2906	3266.8	3327	3312	3281.4	2822.8	2698.4	2886.2	3039.2	3462.8	3816.6	4140.8	4377.6	4645.8	5334.8	6607.8	8447.8	9811.2	11155.4	12706.4	13065.2	13726.4	13620.8	14436.8	14710.4	13342	12577.6		
N 186	45	6	INDUSTRY    	1948	1	155.2	150.5	251.95	633.3	882.65	842.4	742.6	785.25	917.5	726.55	658.55	606	772.6	696.1	656.85	695.2	760.9	1019.25	1377.35	1546.8	1537.45	1414.85	1235.25	1228.95	1346.1	1483.05	1775.8	1751.9	1985.1	2265.45	2858	3927.4	4486.6	4735.5	5419.55	5829.25	6625.35	7147.65	7410.6	7932.5	9575.9	12620.05	12503.95	12379.85	11285.95		
N 187	45	6	INDUSTRY    	1948	1	281.7	270.8	428.7	1090.6	1562.6	1498.4	1283.5	1154.9	1229.9	894.2	693.3	545.2	1205.6	1101.8	1057.2	1095	1165.8	1369.6	1571.1	1795	1634.3	1429.8	1288.2	1399.7	1532.2	1669.5	2088.9	2216.8	2414.1	2611.9	3022.3	3037.7	3719.9	4659.1	6320.1	7443.5	8562.6	9233.4	9500.9	9243.9	9239.4	10779.7	8201.7	8482.7	8124.1		
N 188	33	6	INDUSTRY    	1960	1	304.45	282.3	252.25	265.05	313.8	444.25	732.75	820.05	830.4	780.5	663.2	599.95	653	677.2	774.45	769.45	866.05	985.45	1413.35	2072.1	2298	2165.45	2380.1	2373.4	2829.35	3127.65	3101.6	3224.7	4393.25	6599.8	7319.1	7377.55	6543.4														
N 189	33	6	INDUSTRY    	1960	1	783	773	763.5	755	763.5	1251.5	1912	2126	1975.5	1789	1224.5	1140.5	1286	1410.5	1951	1751.5	1779	2677	2801	4614.5	5637.5	6502.5	6106.5	6452	6801	6819	7179.5	7760.5	11707.5	13577	13279	12367	11138														
N 190	33	6	INDUSTRY    	1960	1	938	767.2	811.2	929.2	911.6	1096	902	1140.8	1016.6	867.6	904.4	956	1054.4	1134	1328.6	1283	1257.2	1348.6	1511.4	1483	1788.2	2245	2709.2	2992.4	3564.6	4282	4864	6108.8	5815.6	6754.2	6329.6	6596.2	7080.2														
N 191	33	6	INDUSTRY    	1960	1	1024.5	890.5	740	647.5	709	928	1246	1405	1417	1440.5	1395.5	1637	1495	1448.5	1795.5	2035.5	2771	3104	3848.5	5380.5	5407	5694.5	6366	8120	8940.5	8838	8711	8465	8947.5	11046	7980.5	7287.5	7303														
N 192	47	6	INDUSTRY    	1947	1	5299	8319.6	6295.5	2444.3	6774.4	5358.7	5329.8	2231.8	2378.6	4250.2	5639.8	2675.7	2453.2	3721.9	1871.9	2353.8	3129	4515.6	5332.4	6769.9	6477.5	3896.1	5411.2	5241.1	4801.4	4207.3	5481.4	6324.3	6587	4561.8	4666.4	6240	8393.1	8035.7	4143.5	1551.5	557	1239.6	1167.4	1150.8	1364.5	2252.4	2961.7	3206.3	2467.4	2576.1	3523.9
N 193	47	6	INDUSTRY    	1947	1	4631.45	2885.05	2136.5	5478.8	2805.6	1133.6	1171.45	712	4167.2	1535.25	1109.35	621.5	1924.7	1120.95	950.6	1187.2	2189.25	2225.65	3269.95	3660.8	1924.45	2469.3	3265.05	2126.5	2345.65	2117.15	5106.8	4263.8	1601.6	1527.3	2977.85	6243.1	5653	2007	864.4	316.05	298.1	752.7	475.5	621.3	925.2	1443.55	1550.1	1359.85	1134.1	1559.05	2490
N 194	44	6	INDUSTRY    	1950	1	1530	1850	1950	2540	2670	2930	3120	3390	3360	3780	4090	4310	4520	4880	5040	5550	5660	5870	6130	6230	5970	5450	5410	5260	5240	4500	4370	4300	4410	4600	4320	4260	3610	3660	3860	3590	3640	3440	3430	3530	3460	3060	2710	2670			
N 195	47	6	INDUSTRY    	1947	1	4790	4860	4460	4860	5470	5190	6110	5960	6290	6310	6090	4770	5140	4970	5250	5530	5510	5650	5880	6230	6130	6330	6570	6280	6360	6610	7230	7700	7240	7470	7600	8290	8130	7860	7710	6640	7100	6850	6920	7910	9520	8120	8730	8160	8700	8320	9820
N 196	47	6	INDUSTRY    	1955	1	4590	4595	3715	4140	5190	4720	5235	4640	5405	5500	5230	4740	5380	5365	5675	5970	6165	6580	7020	7225	6820	7415	7375	6865	6780	6635	7185	6740	6135	6160	5995	5870	5605	5695	5555	4320	4570	4505	4055	4205	3995	4085	3775	3930	4025	3805	3590
N 197	44	6	INDUSTRY    	1950	1	1495	1595	1570	1670	1805	2045	2390	2285	2020	2530	2280	2515	2615	2595	2795	2885	2970	2945	3120	3320	3275	3390	3465	3925	3935	3015	3565	3435	3505	3710	3635	3805	3300	3800	4175	4320	4620	4840	5110	5505	5385	5475	6265	6400			
N 198	47	6	INDUSTRY    	1947	1	392	528	1692	2276	1244	1626	1152	1888	2346	2192	2084	2182	2186	1718	1844	2206	2404	3252	3894	4212	4158	4004	3832	3788	3642	3716	3974	4240	4212	4020	4528	4898	4726	4272	4370	3538	3912	4134	4186	4160	4378	4666	4694	4990	4486	4782	4796
N 199	43	6	INDUSTRY    	1947	1	900	910	1230	2000	3110	4120	6850	4760	3670	3960	3200	3040	3090	1560	1420	1960	2270	1810	1610	1400	1610	2060	2110	2960	3390	3430	3070	3350	2220	2830	3270	3670	2510	2240	2390	2380	3150	4830	5090	5090	2790	2670	4110				
N 200	43	6	INDUSTRY    	1947	1	1030	960	950	1310	1960	2160	4750	2770	1570	1800	1500	1700	1970	1910	2240	2190	2130	1600	1640	1450	1520	1190	1250	1980	2080	2390	2710	2340	1990	5130	2970	2960	2220	2620	2970	2890	2590	3290	3660	2640	2590	3370	3070				
N 201	43	6	INDUSTRY    	1947	1	5050	6440	6130	5610	6640	6120	5160	6640	5570	4540	5310	4050	4190	3220	4480	3950	3760	3290	3610	2910	1980	1860	1670	1170	1840	1010	630	1360	1260	930	1420	1290	1050	1430	1440	1190	880	1110	1290	1070	930	1310	1500				
N 202	44	6	INDUSTRY    	1948	1	1708	1319	2046	2148	1784	2108	1849	2429	2440	2414	2213	2834	2952	3017	3130	3359	3776	4181	4748	4461	4975	5358	5379	5356	6534	7475	7250	5783	5921	8152	8736	8068	7915	7657	6340	6621	7513	7774	8226	7698	7653	8336	9438	12006			
N 203	43	6	INDUSTRY    	1947	1	236	166	222	174	366	384	294	802	1160	990	1142	938	1184	2072	2138	2152	2580	2906	2544	2852	3102	3450	3816	6812	3946	4088	4252	5084	4654	4568	4788	4720	5322	6902	6674	6158	6668	6706	6882	7818	9456	10320	11306				
N 204	43	6	INDUSTRY    	1947	1	135	225	345	375	420	885	945	2055	2640	2700	3450	3045	3900	5520	5925	6525	7125	7905	7275	7665	8265	9135	10125	11820	10755	10785	10020	10725	9420	9930	10845	10305	10380	10455	10650	8550	8775	8085	8610	9675	9390	11775	11385				
N 205	43	6	INDUSTRY    	1947	1	2271	1923	1491	1083	2796	2154	1416	1056	1446	1785	2238	1071	1251	954	1212	1071	1227	1425	2271	3000	1932	2154	4434	6843	4107	3354	3798	3477	3465	3579	3378	2418	4206	5883	3405	3018	1989	3075	3210	2892	1770	3033	3129				
N 206	47	6	INDUSTRY    	1947	1	1329	1471	1573	1821	2050	2239	2391	2526	2819	2932	2952	2952	3211	3409	3619	3728	4010	4225	4416	4687	5145	5537	5845	6122	6239	6483	6451	6292	6097	6010	6088	5914	5942	5918	6055	5851	5882	6131	6075	5871	6056	6142	5861	5983	6392	6680	7254
N 207	47	6	INDUSTRY    	1947	1	2362	1898	1726	1530	2508	2630	2534	2322	2452	2576	3138	1926	1490	1416	1206	1192	1484	1450	1344	1418	1710	1654	1668	1790	1626	1624	1674	1588	1486	1574	1406	1486	1722	1886	2678	4224	4198	3938	4198	4586	4460	4820	5190	5448	6456	6296	6116
N 208	47	6	INDUSTRY    	1947	1	1491.5	1703	1646.5	1974.5	2236.5	2396.5	2440.5	2631.5	2905.5	3079.5	3080.5	3267	3300	3426.5	3472	3662	3736.5	3752	3879	3987	4091	4372.5	4501.5	4636	4856.5	5330.5	5643.5	5379.5	5203	5733.5	6116.5	6263	6042.5	5245	5162.5	4874.5	4909.5	5206	5234	5318.5	5432	5712.5	5761	5512.5	5330.5	5451.5	5637
